,id,query,median_relevance,relevance_variance,product
2393,7639,baseball cleat,3,0.471,easton men sonic mid cleat hit court easton man sonic mid cleat spike ensure maximum grip acceleration cover inch field easton men sonic mid cleat mam upper lace style mesh lining spikes padded footbe padded collar tpr sole
2394,7642,skecher women shoe,4,0.0,woman skechers shape ups sr white work hard work time skechers work shape ups sr shoe smooth leather upper lace casual fitness sneaker shape ups fitness design promote weight loss tone muscle walk slip resistant outsole shape ups design promote weight loss tone firm muscle simulate walk barefoot yield surface sand stitch detail skecher s shape ups logo lace padded collar tongue pull tab tongue heel fabric shoe lining cushion insole firm polyurethane frame support stabilize foot kinetic wedge super soft foam midsole design absorb shock provide exercise effect 1 1/2 inch midsole height center osha compliant slip resistant rubber outsole sole rate astm f 1677 96 mark ii use heel toe roll gait walk run shape ups recommend come detailed exercise guide increase muscle activity level relief pressure joint tendon boost metabolism level increase calorie burn cost comparable exercise footwear
2395,7643,vanilla scented perfume,2,1.0,['']
2396,7650,shaver panasonic,2,0.471,['']
2397,7652,rachel ray cookware,4,0.0,rachael ray porcelain non stick 14 piece cookware set orange sorry go wrong have technical problem try later check help section overview review shipping return detail new cook everyday cook practice cook alike appreciate essential piece include rachael ray hard enamel nonstick 14 piece cookware set include skillet saucepan stockpot sauté pan baking sheet rach clever time- effort save kitchen tool set offer basic take food prep counter oven stovetop table combine quality performance fun contemporary color durable material cookware set handle favorite dish set come medium cookie sheet distinctive grippy orange handle provide plenty comfortable grasp bulky oven mitt well cookware include durable silicone head mini spoonula medium turner lazy spoon cleverly notch perch right cookware rim rachael italian style skillet potatoes chicken fajita tortilla soup cook home satisfying sturdy aluminum cookware construction promote heat pot pan help reduce hot spot burn food vibrantly color hue tone enamel exterior plenty stylish kitchen personality durable nonstick interior provide superior food release help cleanup breeze cookware comfortable handle double rivet extra strength shatter resistant glass lid lock heat moisture oven safe 350 ° f cookware set go great item rachael collection stir great food lot personality bold contemporary rachael ray hard enamel nonstick 14 piece cookware set include handy baking sheet clever kitchen utensil
2398,7654,bluetooth speaker,4,0.0,['']
2399,7657,table runner,4,0.0,handmade beaded table runner beautiful table runner design floral bead accent runner available number color complement setting color pattern gold ivory silver include 1 runner dimension 16 inch x 72 inches/16 inch x 36 inch material 45 percent metallic 32 percent polyester/ 23 percent nylon brand saro care instruction dry clean
2400,7667,blue mini fridge,2,0.471,sunpentown compact refrigerator energy star stainless steel 2.4 cu ft sunpentown 2.4 cubic foot stainless steel compact refrigerator flush compact design ideal college dorm room office perfect counter placement reversible door slide wire shelf offer versatility feature include tall bottle door rack 7 inch wide freezer compartment adjustable thermostat feature leveling leg hcfc free energy star rate
2401,7671,blue mini fridge,2,0.471,portable mini fridge cooler warmer auto car boat home office ac dc white best choice products present brand new personal mini refrigerator great enjoy eat desk college dorm student driver enjoy cool drink snack road need refrigerant low noise motor work quietly hot cold switch plug wall car cigarette light purchase product directly manufacturer know get good price available new product factory packaging refurbish
2402,7672,green bay packer,2,0.943,green bay packers water bottle white 26 oz stay hydrated sip green bay packers stainless steel water bottle feature team color twist plastic lid prevent spill loop easy transport
2403,7676,converse low,2,0.748,['']
2404,7681,polar heart rate monitor,4,0.0,['']
2405,7688,bluray hobbit extend,2,0.0,['']
2406,7692,knife victorinox,4,0.471,victorinox alox minichamp knife silver functions phillips screwdriver key ring nail file scissor ruler bottle opener blade blade type clip point straight blade length 1.5 blade material high carbon stainless steel handle material aluminum product length 2.25 weight 0.12 lb warranty description limited lifetime warranty product width 0.5
2407,7699,button shirt,4,0.471,merona men oxford shirt detail merona men oxford shirt blue size s familiar look man dress shirt exactly want easy draw oxford shirt comfortable fit familiar feel 100 cotton oxford construction easy care look great fit button shirt button collar set sleeve staple work play merona shirt smart choice sizing men classic fit weave type oxford material 100 cotton neckline style collared button collar style plain sleeve style long set sleeve basic sleeve single cuff closure style button pocket style patch pocket garment length hip hem type plain hem care cleaning machine wash gentle delicate non chlorine bleach need tumble dry normal low heat iron medium
2408,7703,ipad 2 heavy duty case,3,0.471,apple ipad air smart case assorted colors smart case provide elegant aniline dye leather covering ipad air protect screen maintain thin light design ipad air fold easily stand reading type watch video automatically wake sleep ipad air open close available rich color include product red.**a portion proceed product red purchase global fund fight aids africa ipad air smart case natural aniline dye leather appearance change time use
2409,7705,adidas fragance,4,0.0,man adidas adidas pure game edt spray 3.4 oz dedicated football fan participant 2010 south african world cup adidas launch pure game keep undaunted spirit sportsmanship mind spicy woody citrus perfume innovate soothe effect herb note grapefruit mandarin orange let energize spirit herbal basil spicy pepper woody heart guaiac wood cypress sweetness lavender power patchouli base chypre incense gourmand tonka bean long last effect
2410,7706,converse low,1,0.0,['']
2411,7710,router,4,0.0,['']
2412,7717,martial art headgear,1,0.943,martial arts collection 4 film favorites 2 discs jean claude van damme make star debut aptly title bloodsport american soldier large hong kong van damme involve kumite spell kumatai highly illegal kickboxing competition survive bout crown kumite champion world title plenty challenger homicide heart finale offer duel death near death van damme reign kumite king bolo yeung script base real life exploit martial art champ frank dux serve film fight coordinator deny nicety production value bloodsport score big time violent action department sequel follow 1995 inventively title bloodsport 2 ~ hal erickson rovi year major star rest world jackie chan finally break stardom united states rumble bronx dubbed edited version hung fan kui chan play keung police officer hong kong travel new york attend wedding uncle bill bill tung bill sell grocery store elaine anita mui keung find elaine pretty good reason extend visit new york mean spirited fashion challenge street gang move neighborhood demand protection money local storekeeper elaine ready sell store keung determined tough push thing sticky hood trail lose cache steal jewel ~ mark deming rovi director mark l. lester model police action drama hong kong style guarantee plenty action sequence dolph lundgren star police detective chris kenner american raise japan give new partner johnny murata brandon lee make hollywood debut japanese raise america chris appreciate american culture johnny like japanese culture thing enjoy martial art expert assign l.a. little tokyo try nab notorious yoshida carey hiroyuki tagawa drug manufacturer local brewery distribution center yoshida member yakuza bring resident little tokyo knee chris personal reason want yoshida child witness yoshida murder parent yoshida rape kidnap minako tia carrere beautiful lounge singer straw chris johnny set yoshida heavily guard home big showdown ~ paul brenner rovi nick chen chow yun fat chinese bear immigrant nypd force decorate officer name leader city asian gang unit primary peacekeeper chinatown trouble arrive triad long entrench chinese gangster real power chinatown year pose honest businessman triad power threaten newly arrive fukienese dragons gang war horizon city send new recruit danny wallace mark wahlberg join chen unit danny find chen agu comfortable comfortable relationship triad mobster attempt corrupt danny chen reassess relationship triad danny learn certain concession ensure peace world set apart rest new york ~ ron wells rovi
2413,7719,patio table,4,0.0,main 63 outdoor patio dining table border atlantic ocean rest main outdoor series distinguish wooden plank board inspire design main stand refreshing arrangement outdoor together solid polywood light gray finish natural wood grain design present rich organic feel pair nicely aluminum frame main outdoor series minimalistic piece perfect contemporary patio backyard poolside outdoor lounge area
2414,7723,hat rack,3,0.433,york coat hat hook rack add york 4 hook rack wall door create hang space coat hat robe towel tote handbag work room home base rust resistant paint metal hook chrome plate steel
2415,7724,playstation vita system,2,0.471,sony usb cable ps vita playstation system gear official playstation accessories build high standard accessory work seamlessly playstation platform official accessory offer advanced feature enhance gaming entertainment experience use official usb cable charge sync playstation vita usb cable connect ps vita directly cradle ps3 windows pc mac efficient syncing charge work seamlessly official ac adaptor quick charging wall outlet 4.92 long
2416,7725,lc lauren conrad dress,4,0.0,['']
2417,7734,samsonite,4,0.0,samsonite winfield 2 fashion 24 travel style 24 inch upright suitcase orange charcoal wheel telescopic handle add convenient maneuverability
2418,7735,bedspread,4,0.471,historic charleston king charles matelasse bedspread ensemble king size bedspread birch add elegant finishing touch bed king charles matelasse bedspread gorgeous 100 cotton bedspread come choice color feature jacquard weave form classic 19th century motif
2419,7737,robe,4,0.471,womens waffle knit robe gilligan omalley bring spa home gilligan o'malley waffle robe 100 cotton classic bathrobe help rediscover zen soft waffle knit absorbs moisture readily make perfect post tub relax cup chamomile tea wear favorite pj lounge newspaper morning coffee lightweight durable come matching waist belt pocket stash small essential
2420,7739,high chair,4,0.471,graco tablefit highchair finley la silla alta con mesa de graco le ofrece tu pequeño un lugar para disfrutar de las comida en familia su diseño exclusivo permite que la silla alta se deslice cerca de la mesa para un calce perfecto y te da un fácil acceso al bebé durante su alimentación
2421,7743,stick vacuum,4,0.471,['']
2422,7744,candle lantern,4,0.0,['']
2423,7745,wine rack,4,0.0,upton home renshaw wine rack mixed pattern texture come wonderfully offbeat wine rack gold surface freckle brown lie atop roll distressed rust frame eclectic addition home removable tray green silver gold materials mdf metal sheet metal tube twisted metal iron line finish gold accommodate 22 standard wine bottle feature 2 open shelf 3 removable tray include 2 lock wheel caster eclectic style speckled gold multicolore accent support 40 pound shelf 12 pound tray 2 pound bottle holder product weight 52.5 pound dimension shelf 1.75 inch high lip x 46.25 inch wide x 11.25 inch deep tray storage 9.5 inch high x 13.75 inch wide x 10.25 inch deep clearance wheel 4.75 inch high x 40.5 inch wide x 6.5 inch deep overall dimension 30.25 inch high x 48.5 inch wide x 13.5 inch deep
2424,7746,dean guitar,4,0.0,dean evo tevo set neck satin natural electric guitar korean free shipping ebay item number:381233841572 seller assume responsibility listing < strong > item specifics</strong > < table > < tr > < th > condition:</th > < td><strong > new details)</strong > < strong>:</strong > < /td></tr></table >
2425,7747,kitchen rug,3,0.0,cannon 21 braid kitchen rug coordinate kitchen textile color gradate tone indigo textural interest beautiful reversible flat braid style
2426,7750,zippo,4,0.943,zippo brushed chrome light zippo brushed chrome lighter offer ideal way strike fire high quality material build lifetime simply refill fuel run windproof design light weather condition flint windproof zippo light conveniently replaceable
2427,7760,gold dress,1,0.0,dkny bryant park square crystal bangle watch 21 mm gold clean design define modern square watch distinguish reflective hand dial crystal stud bangle bracelet color(s gold style dkny bryant park square crystal bangle watch 21 mm style number 823593_2
2428,7762,laptop lenovo,4,1.265,['']
2429,7764,cast iron skillet,4,0.0,tramontina 12 cast iron covered skillet red number pieces 2 additional include item handle sleeve feature oven safe handle capacity volume 5.0 qt pot pan diameter 12.5 pan pot material cast iron handle material cast iron handle length 7.0 lid material cast iron finish enameled bake cooking surface enamel care cleaning oven safe 450 degree induction cooktop safe hand wash dimension 12.5 w x 19.44 d x 4.5 h weight 12.58 lb warranty description limited lifetime warranty cooktop compatibility smooth surface non induction gas electric coil smooth surface induction info warranty information obtain copy manufacturer warranty item target guest services 1 800 591 3869 online item 14862820 store item number dpci 070 01 0834 import
2430,7766,mens leather shirt,1,0.471,['']
2431,7768,zippo hand warm,1,0.0,babyganics face hand baby wipes fragrance free 30 count wipe worry problem old time baby sensitive place messy time hydrating skin nourishing wipe gentle face hand place thick soft texture moist thank pack design material wipe baby wipe new formula create natural plant base ingredients soothe chamomile skin nourishing gentle face hand place new strong soft material non allergenic ingredient soothe sensitive skin pediatrician dermatologist test alcohol paraben sulfate phthalate artificial dye fragrance new formula include exclusive 100 natural neonourish seed oil blend help nurture support baby skin
2432,7772,robe,4,0.49,youmade carter newborn boys dinosaur robe blue detail sizing newborn 0 12 month pattern dye pattern material 100 cotton collar style hooded collar sleeve style long sleeve roll cuff cuff closure style tie pocket style pocket garment length knee care cleaning machine wash normal bleach tumble dry normal iron info online item 15195498 store item number dpci 206 05 4392 usa import disclaimer
2433,7773,projector,4,0.0,"hd 1080p lead multimedia mini projector home theater cinema av tv vga hdmi usb sd < ul > < li > english < /li > < li > < /li > < li > < /li > < /ul > translation tool convenience accuracy accessibility result translation guarantee < ul > < li > englishenglish < /li > < li > العربيةarabic < /li > < li > 中文（简体）chinese simplified < /li > < li > 中文（繁体）chinese traditional < /li > < li > českyczech < /li > < li > nederlandsdutch < /li > < li > suomifinnish < /li > < li > ελληνικάgreek < /li > < li > עבריתhebrew < /li > < li > magyarhungarian < /li > < /ul > < ul > < li > bahasa indonesiaindonesian < /li > < li > 日本語japanese < /li > < li > 한국어korean < /li > < li > norsknorwegian < /li > < li > portuguêsportuguese < /li > < li > românăromanian < /li > < li > русскийrussian < /li > < li > slovenčinaslovak < /li > < li > < /li > < /ul > < ul > < li > françaisfrench < /li > < li > italianoitalian < /li > < li > españolspanish < /li > < li > svenskaswedish < /li > < li > ภาษาไทยthai < /li > < li > türkçeturkish < /li > < li > украї́нськаukrainian < /li > < li > tiếng việtvietnamese < /li > < /ul > < ul > < li></li > < li > note accuracy accessibility result translation guaranteed.</li > < /ul > ebay item number:351264448598 seller assume responsibility listing update nbsp;apr 30 2015 01:35:33 pdt&nbsp view revision < strong > item specifics</strong > < table > < tr > < td > condition:</td > < td > new brand new unused unopened undamaged item original packaging packaging applicable packaging find retail store item handmade package manufacturer non retail packaging unprinted box plastic bag seller listing detail condition definition < strong>- open new window tab</strong > read < strong > condition</strong > < /td > < td > brand < /td > < td > < strong > unbranded generic</strong></td > < /tr > < tr > < td > feature < /td > < td > build speakers</td > < td > model < /td > < td > < strong > uc28</strong></td > < /tr > < tr > < td > contrast ratio < /td > < td > 300:1</td > < td > display technology < /td > < td > lcd</td > < /tr > < tr > < td > image brightness < /td > < td > 48 lumens</td > < td > image aspect ratio < /td > < td > 16:9/4:3</td > < /tr > < tr > < td > country region manufacture < /td > < td > china</td > < td > native resolution < /td > < td > 320 240</td > < /tr > < tr > < td > sku < /td > < td > hgtyy-01</td > < td > video inputs < /td > < td > hdmi</td > < /tr > < tr > < td > color < /td > < td > < strong > black</strong></td > < td > audio outputs < /td > < td > headphone jack</td > < /tr > < tr > < td > size < /td > < td > 5&#039;&#039;x4.9&#039;&#039;x2.2&#039;&#039;(inch)</td > < /tr > < /table > < table > < tr > < td > < p></p><p></p><p></p>1.the led lamp work 20,000 hours2.manual focus adjusting picture 20 60 inches;3.professional trouble shooting protection measures;4.the projector small light easy carry;5.easy change 16:9 4:3 aspect ratio low power consumption echo oriented;6.multi function interface vga av sd usb hdmi input(data cable include)7.vehicle power supply support easy use;9.resolution 320 240 contrast 300:110.projection lens manual focus angle ratio electronic zoom11.led lamp life 20,000 hour brightness 48 lumen12.input av usb sd card sd include package)<br > specifications:<br><strong > size 5''x4.9''x2.2''(inch)</strong><strong > native resolution 320 x 240,</strong > image system lcdsupporte resolution 1920x 1080lamp ledinput voltage 12 vlanguage english etcbrightness 48 luxcontrast 300:1lens f=125image size 20 60 inchesprojection distance 1.25 4.0 mprojection mode projectionoperation mode manual remote controloutput headphoneinput vga av usb sd hdmi(data cable include)support file format:&nbsp;1.audio wma mp3 nbsp;&nbsp;2.video mpeg1 mpeg2 mpeg4 rm rmvb avi?mkv mov3.power waste 24wspeaker 2.0 w 2net weight 0.65 kgproduct size 127 127 57 mm</br></br></td></tr></table >"
2434,7778,sleeping bag,4,0.0,coleman dallas cowboy logo sleeping bag youth camp have sleepover stay comfortable stylish coleman team logo sleep bag feature zip plow snag patent zipper roll control easy packing team logo sleep bag 100 percent polyester include 100 percent polyester fiber batting logo sleep bag machine washable commercial washing machine stuff sack store bag rate 50 degree fahrenheit
2435,7780,patio umbrella,4,0.0,fiberbuilt umbrellas 9 ft patio umbrella forest green 9hcrcb t fg fiberbuilt umbrellas fiberbuilt umbrellas dedicate manufacture state art fiberglas rib umbrella use hotel condominium country club restaurant location require contract quality product unique fiberglas support rib construction ensure strength resilience durability fiberbuilt develop unique line contract quality beach garden market umbrella hold harsh est weather condition umbrella construct marine grade fabric withstand intense sunlight salt air drive rain flexible fiberglass rib absorb wind gust break time long traditional steel wood rib umbrella convenient push button tilt 2 piece 1.5 inch aluminum pole choice durable powder coat finish quality sunbrella canopy choice color well use table 48 inch feature flexible fiberglass rib mold nylon joint hub end tip convenient crank lift mechanism easy opening
2436,7783,eye cream,4,0.471,olay total effects 7 in-1 anti aging eye transforming cream .5 oz concerned accelerated sign age eye try olay total effects anti aging eye cream olay anti aging eye cream .5 oz provide seven transforming therapy essential eye product reduce appearance fine wrinkle dark circle crow foot addition total effects eye transforming cream minimize puffiness blotchiness deliver moisture skin eye olay total effects anti aging eye cream help renew skin texture result young look complexion olay total effects 7 in-1 anti aging eye transforming cream .5 oz cream .5 oz reduce appearance fine wrinkle reduce appearance dark circle reduce puffiness renews skin texture reduce appearance blotchiness deliver moisture skin eye
2437,7785,drawer organizer,2,0.98,eden baby furniture nantucket 3 drawer chest dark cherry item 16946371 nantucket collection 3 drawer chest help store newborn article linen stain rich cherry finish drawer rounded pull
2438,7791,infinity scarf,4,0.0,peach couture black white striped infinity loop scarf trendy scarf feature fun pattern infinity loop stylish lightweight scarf perfect staple wardrobe
2439,7793,gold toe sock,2,0.943,easycomforts white open toe gel socks soft therapeutic open toe gel sock wrap foot unbelievable comfort cushy gel conform toe foot ease joint pain pressure point painful foot problem open toe therapeutic gel sock wear shoe nylon gel construction hand wash size fit import
2440,7794,sport bra,3,0.894,fruit loom women seamless sport bra removable bra pads style ft457 2 pack created fruit loom woman seamless sport bra removable light line cookie perfect lifestyle seamless style make invisible clothe removable cookie help look want active lifestyle require brand support comfort fruit loom leader affordable undergarment 160 year unconditional guarantee insure good product time money run jump bike sprint happy fruit loom
2441,7795,pencil skirt,3,0.471,"tiki bar lace pencil skirt cherry red small available size small color cherry red love lemonstiki bar lace pencil skirtdetailsfor love lemons tiki bar lace pencil skirt approx 19.3""l skirt hem natural rise pencil silhouette scallop hem cotton nylon"
2442,7796,electric griddle,4,1.414,george foreman 360 electric nonstick grill interchangeable grill plates refurbish favorite foodie enjoy healthy great taste meal matter minute george foreman lean mean grilling machine 360 72 square inch round cooking surface large versatile grill serve pizza baker omelet maker pancake griddle make mouthwatering steak chop seafood burger leave fat plus george foreman 360 grill ideal gift cook list 72 sq grilling surface family cook temperature control slide perfect result time temperature indicator light indicate plate select grilling temperature adjustable tilt angle let choose sloped flat cooking surface metal extended loop handle ergonomic durable george tough triple non stick coating durable eliminate need oil 1 float hinge work accommodate thick cut meat signature foreman heating element heat fast temperature recovery patent sloped grill design knock fat 3 plate include 2 removable grill plate 1 removable bake pan plate dip tray drip tray catch run liquid mess clean dishwasher safe removable plate meal cleanup snap dishwasher safe drip tray offer easy cleanup dishwasher safe spatula fus food removal brand george foreman include item 3 removable plate drip tray spatula user manual recipes type electric grill finish glossy color option black red platinum style round settings variable heat setting wattage 1440 capacity 72 square model grp0720 dimension 15.4 l x 14.5 w x 7.8 h inch
2443,7799,speck iphone 5 case,4,0.0,speck candyshell case iphone 5 raspberry pink black sweet dual layer protection hard outer shell soft rubbery shock absorbent center
2444,7801,hollister polo,1,0.0,veratex hollister stripe throw pillow veratex hollister stripe throw pillow home decor admire bed chair couch throw pillow add comfort style room set include 1 throw pillow removable cover edging knife pillow shape square dimensions 18 inch long x 18 inch wide cover material 100 percent polyester fill material polyester care instruction spot clean
2445,7805,silver jean,2,0.471,reco jeans men olulu straight leg jeans olulu straight leg jean reco jeans feature stylish fade thunder color crisp blue medium rise style man pant offer construction 60 percent recycled fiber estado new york opciones de colore thunder wash crisp blue calce recto classic 5 pocket styling button closure button fly tiro medio 60 percent recycled fiber olulu rare plant grow near rocky volcanic area el tiro de la entrepierna mide aproximadamente 30 pulgada measurement take size w30/30l. estado new york haz clic aquí para ver nuestra guía de tallas de hombre 87 percent cotton/13 percent mixed fiber se pueden lavar máquina
2446,7806,waffle maker,4,0.0,black decker rotary waffle maker item 13692712 thick fluffy waffle soak syrup work perfectly topping flip handle rotate cook system make perfectly form waffle plus waffle ready indicator light let know waffle cook ready serve brand applica include item waffle maker handle manual type waffle maker finish stainless color black stainless style modern make 1 large round belgian waffle time rotate cook system waffle ready indicator light power indicator light cool touch handle display wattage 350 capacity 4 waffle model wm1404s dimensions 9.5 inch high x 14.4 inch wide x 8.1 inch deep
2447,7808,levis,4,0.471,signature levi strauss co. men jeans 2 pack signature levi strauss co. men slim straight jeans perfect everyday style dress boot woven shirt dress jean tee favorite pair sneaker signature levi strauss co. men slim straight jeans 100 cotton whisker slim fit low rise straight leg machine wash cold
2448,7809,refrigirator,4,0.0,['']
2449,7814,robe,4,1.414,['']
2450,7819,yoga pant,2,0.0,danskin women petite dri bootcut pants 2 pack value bundle exercise lounge run errand sleep danskin women bootcut pants come 2 pack value bundle stretchy cotton jersey pant feature petite sized inseam elastic waistband relaxed fit adjustable exterior drawstre keep petite dri elastic waist pant place pick favorite color wear easy care pant gym yoga session house year round
2451,7820,gym glove,1,0.0,holy bible new international version slate blue italian duo tone thinline paperback lightweight compact portable niv compact thinline bible perfect bible lifestyle design mind convenient size allow carry gym bag glove box backpack laptop case niv compact thinline bible ideal way god word matter life take feature extra thin edition inch thick presentation page ideal gift giving ribbon marker
2452,7821,flower bulb,1,0.0,blooming bulb harvest throw pillow super soft pillow feature contemporary floral pattern spruce room house zippered removable sham make clean pillow breeze
2453,7824,storage drawer,3,0.0,['']
2454,7825,samsonite,3,0.471,samsonite spin trunk 25 samsonite spin trunk 25 hardside spinner suitcase home luggage luggage upright luggage
2455,7832,donut shoppe k cup,3,0.471,keurig k cups celestial seasonings english breakfast tea 18ct keurig k cups celestial seasonings english breakfast tea evoke flavor lovely teatime tradition high quality black tea assam kenya brew robust bodied cup bright floral note leave k cup english breakfast black tea simply tuck keurig brewing system close lid enjoy aroma delicious hot beverage pour mug
2456,7835,plantronic cord headset,4,0.943,['']
2457,7838,solar battery charger,3,0.748,['']
2458,7842,aroma diffuser,4,0.0,sparoom aromamist ultrasonic essential oil diffuser white .8 lbs pamper new height premier diffuser half cup tap bottled water favorite essential oil transport spa heavenly ultrasonic mister fill air fragrance 3 continuous hour add additional ambiance optional light setting blue pink revolving rainbow color 4 color change lead light option provide soothe ambiance choose light mode 1/2 cup tap water 3 hour set include 1 aromamist ultrasonic essential oil diffuser brand spa room container box weight .8 lb
2459,7845,digital camera,4,0.0,fujifilm x m1 mirrorless digital camera bundle fuji x m1 mirrorless digital camera xc 16 50 mm f/3.5 5.6 ois lens high performance x mount camera feature build wi fi flash hot shoe mount magnesium alloy body focal plane shutter high speed contrast autofocus
2460,7848,mac book air cover,1,0.0,air conditioner cover beige brown protect air conditioning unit weather element use air conditioner cover gardelle fabric system easy care polyester water repellent pvc backing air vent minimize wind lofting condensation inside cover round air conditioner cover dark splash guard skirt adjustable elastic hem cord snug fit click close strap hold securely place easily cover remove polyester ac cover padded handle spot clean
2461,7854,cuisinart coffee maker,4,0.471,mr. coffee 12 cup programmable coffee maker look system cup java brew mr. coffee 12 cup programmable coffee maker apt choice 12 cup coffee brewer machine come pause n serve feature give cup coffee guest brew choose vary strength java array programmable setting mr. coffee programmable coffee maker brew strength selector fresh brew time mr. coffee thermal coffee maker offer hot fresh coffee ensure easy cleaning fill owe water window detachable filter addition mr. coffee 12 cup programmable coffee maker limit chlorine content water 97 percent
2462,7856,keurig coffee maker,4,0.0,keurig 2.0 k550 coffee brewing system generation k cup single serve system brew carafe 80 oz water reservoir extra large color touch display brewer maintenance alert strength control hot water demand function energy saver mode programmable control like auto auto brew k carafe customizable clock favorite setting night light brewer customizable user interface wallpaper illuminated water reservoir include 4 cup starter carafe 4 k carafe pack 6 k cup pack water filter include 4 cup starter carafe 4 k carafe pack 6 k cup pack water filter starter kit filter
2463,7860,cargo short,4,0.471,dickies men relaxed fit ripstop 13 camo cargo short bold fashion statement dickies men relaxed fit ripstop 13 camo cargo short feature trendy desert sand seal brown camo influence pattern awesome dickies cargo short super comfy 100 cotton 13.5 inseam sit knee people 2 cargo pocket super slick short plenty room store phone wallet key style 13 cargo short dickies
2464,7865,lead christmas light,2,0.471,set 100 pure white led wide angle christmas lights green wire product feature color pure white bulb green wire number bulb string 100 bulb size concave wide angle space bulb 4 light length 33 total length 33.7 4 lead cord 4 tail cord additional product feature led light use 90 energy durable non glass replaceable bulb cool touch ul list indoor outdoor use bulb burn rest stay light light equip lamp lock feature make replaceable interchangeable keep fall come replacement bulb spare fuse
2465,7872,aveeno shampoo,4,0.0,['']
2466,7875,electric blanket,2,0.471,mainstays plush blanket collection mainstays plush blanket warm you year 100 percent polyester material make soft comfortable machine washable provide easy care gray mainstays blanket available twin queen king size ideal use bed wrap watch television read book relaxing mainstays plush blanket blue soft plush feel 100 percent polyester machine wash cold separately like color use mild detergent non chlorine bleach need tumble dry low iron twin size 66 x 90 queen size 90 x 90 king size 102 x 90
2467,7876,yoga pant,4,0.0,['']
2468,7880,snow boot,3,1.166,rck bella polo-10 infant baby girl lovely snow boots warm soul little girl foot lovely snow boot bespeckle valentine heart comfortable baby snow shoe feature soft faux suede upper bow decoration fully fur line interior light rubber outsole
2469,7887,tang knife,4,0.0,jungle team tang stainless steel jungle survival knife jungle survival knife thick tang 440 stainless steel blade extremely sharp rugged handle design extra grip fit perfectly hand complete protective carrying case survival knife wilderness feature include black coat stainless steel blade black rubber handle non slip insert 12.25 inch overall nylon belt sheath 7 inch blade 5.125 inch handle
2470,7890,robe,3,0.471,['']
2471,7891,yoga pant,4,0.0,boundaries juniors flare yoga pant boundaries junior flare yoga pant suitable activity lounge super soft material lightweight comfortable wear day flare leg provide plenty room movement plus contrast color fold waistband give pant additional style pick assorted color
2472,7892,silver jean,1,0.0,calvin klein jeans women continual stainless steel quartz watch know contemporary styling calvin klein jeans fashion wristwatch look sharp ensemble woman watch continual collection showcase stainless steel case bracelet case polished stainless steel caseback close snap bezel stainless steel dial bronze sunburst effect hand silvertone markers silvertone arabic numeral bracelet polished stainless steel clasp deployment crystal mineral crown push pull movement swiss quartz water resistance 3 atm/30 meters/99 foot case measurement 36 mm wide x 42 mm long x 6 mm thick bracelet measurement 17 mm wide x 8 inch long country origin switzerland model k8723165 measurement approximate vary slightly list dimension women watch band size fit 6.5 inch 7.5 inch wrist extra link available manufacturer provide service
2473,7895,flannel sheet,4,0.471,micro flannel 3 piece sheets set queen sheet set wedgewood sheet thermal design warmth coziness fast dry design save energy ensure easy care shrink resistant brush micro flannel construction promise luxurious comfort resist pille wrinkle
2474,7896,blue mini fridge,2,0.748,appliance art christmas tree combo refrigerator/ dishwasher cover christmas tree theme refrigerator dishwasher cover add touch winter holiday home appliance art refrigerator dishwasher cover easy install easy clean
2475,7900,aqua shoe,3,0.471,stride rite toddler girl m2p baby aqua sneakers play ready machine washable sneaker design withstand hour outdoor fun antimicrobial mesh lining provide comfort breathability adjustable hook loop strap closure easy grip pull tab machine washable leather mesh upper mesh lining rubber sole stride rite import kid shoe
2476,7902,queen comforter set,4,0.943,['']
2477,7906,cross strap backpack,2,0.471,eastsport round neon 17.5 backpack you personal item book stylish trendy eastsport 17.5 backpack backpack include main compartment pocket mesh pocket give plenty space padded adjustable shoulder strap will dig shoulder easily carry backpack comfortably eastsport round neon 17.5 backpack zip closure 2 main compartment 3 small compartment small mesh pocket carry handle wipe clean cloth
2478,7910,silver ring,1,0.471,loren jewels 14kt gold sterling silver diamond blue enamel bracelet 14kt gold sterling silver diamond blue enamel bracelet 2.31cttw diamond
2479,7911,knee snow boot,2,0.471,henry ferrera women black knee rain boots splash rain puddle style sleek knee rain boot henry ferrera detail faux leather buckle solid rubber sol boot functional fashionable
2480,7913,car window sticker,3,0.0,los angeles dodgers mlb 3 officially license team logo decal self adhesive decal perfect variety surface include car bumper window measure 3 x 3 usa
2481,7914,ray ban sunglass,4,0.471,ray ban sunglasses clubmaster rb 3016 w0365 black 51 mm brand ray ban import product frame color ebony arista lens color crystal green gender unisex condition new original case size lens width 51 mm lens height 44 mm bridge 21 mm temple 145 mm
2482,7915,wii gamepad,4,0.471,['']
2483,7916,rachel ray cookware,4,0.943,rachael ray hard anodized cookware 8.5 inch skillet orange handle item 14916085 cook like professional 8.5 inch skillet rachael ray non stick surface pan feature hard anodize construction offer exceptional durability heat distribution
2484,7917,tote bag,4,0.0,clubhouse novelty fashion tote bag valuable safe shop run errand fun clubhouse novelty tote bag decorate chic red white stripe pattern canvas bag feature blue trim conveniently machine washable
2485,7920,deep fryer,4,0.0,['']
2486,7924,candle lantern,4,0.0,empire black zinc lantern black zinc finish striking metal candle lantern give contemporary feel ensure look good setting lantern feature intricate rivet detailing glass wall stainless steel mount ring
2487,7925,toaster oven,4,0.0,['']
